fecha,hora_declarada,modelo,total_abordo,pasajeros_a_bordo,tripulacion_a_bordo,total_fallecidos,pasajeros_fallecidos,tripulacion_fallecidos,resumen,pais,tipo_operador,tipo_modelo
1922-12-03,00:00,Breguet 14,1,0,1,1,0,1,flying foggy conditions pilot reduced altitude crashed hill,Morocco,Comerciales,Avion
1923-01-10,00:00,Lioré-et-Olivier H-13,4,2,2,3,1,2,plane crashed midair due structural failure tail,France,Comerciales,Avion
1923-01-17,00:00,Breguet 14,1,0,1,1,0,1,crashed mountain snowstorm,Spain,Comerciales,Avion
1923-01-18,00:00,De Havilland DH-4,1,0,1,1,0,1,crashed mail flight,EE.UU,Comerciales,Avion
1923-02-26,00:00,De Havilland DH-4,1,0,1,1,0,1,pilot lost control aircraft approach poor weather conditions,EE.UU,Comerciales,Avion
1923-05-14,13:00,Farman F-60 Goliath,6,4,2,6,4,2,brokeup mid air suffering structural failure 3000 ft onboard fire weakened planes structure losing wing possibly started passenger discarding match lighting cigarette,France,Comerciales,Avion
1923-08-27,17:00,Farman F.60 Goliath,11,9,2,1,1,0,aircraft lost engine 45 minutes flight plane incapable maintaining level flight one engine operating pilot decided make emergency landing asked mechanic ask two passengers move towards rear aircraft instruction apparently misunderstood passengers four moved towards rear aircraft affected center gravity aircraft entered spin crashed,United Kingdom,Comerciales,Avion
1923-08-27,00:00,Blériot Spad 46,2,1,1,2,1,1,crashed approach bucharesst,Romania,Comerciales,Avion
1923-09-07,00:00,De Havilland DH-4,1,0,1,1,0,1,crashed emergency landing attempt,EE.UU,Comerciales,Avion
1923-09-14,18:00,de Havilland DH-34,5,3,2,5,3,2,crashed attempting forced landing encountering heavy rain,England,Comerciales,Avion
1923-11-18,00:00,Junkers F-13,5,2,3,3,1,2,crashed training flight,Russia,Comerciales,Avion
1923-12-06,00:00,De Havilland DH-4,1,0,1,1,0,1,crashed unknown circumstances,EE.UU,Comerciales,Avion
1924-03-07,00:00,De Havilland DH-4,1,0,1,1,0,1,crashed snowstorm,EE.UU,Comerciales,Avion
1924-06-08,00:00,Junkers F-13,5,3,2,5,3,2,stalled taking crashed houses,Colombia,Comerciales,Avion
1924-08-01,00:00,De Havilland DH-4,1,0,1,1,0,1,pliot made low pass honor another pilot died stalled cashed,United States,Comerciales,Avion
1924-11-06,00:00,Breguet 14,1,0,1,1,0,1,en route pilot encountered thunderstorms lost control crashed,France,Comerciales,Avion
1924-12-21,00:00,De Havilland DH-4,1,0,1,1,0,1,lost snowstorm pilot decided bail plane killed,EE.UU,Comerciales,Avion
1924-12-24,12:00,de Havilland DH-34B,8,7,1,8,7,1,shortly taking witnesses observed puff white smoke plane nosedived ground crashed due unknown mechanical failure subsiquent stall captain stewart seven passengers killed attempted forced landing,England,Comerciales,Avion
1925-03-22,00:00,Junkers F-13,5,3,2,5,3,2,shortly take plane went control crashed flames,Georgia,Comerciales,Avion
1925-04-25,00:00,Breguet 14,3,1,2,3,1,2,shortly takeoff flying low altitude poor visibility aircraft hit lightning rod stalled crashed,Spain,Comerciales,Avion
1925-06-25,00:00,Fokker (KLM)  F.III,4,3,1,4,3,1,turn bad weather right wing struck trees plane crashed failure aileron flight,France,Comerciales,Avion
1925-06-26,00:00,Lioré-et-Olivier LeO H-13,2,0,2,2,0,2,attempting land seaplane hit lightning mast crashed,Spain,Comerciales,Avion
1925-07-20,00:00,Breguet 14,1,0,1,1,0,1,crashed unknown circumstance,Spain,Comerciales,Avion
1925-07-24,00:00,Potez IX,1,0,1,1,0,1,crashed attempting land 10 km airport,Hungary,Comerciales,Avion
1925-09-03,05:00,Dirigible ZR-1 Shenandoah (airship),43,0,43,14,0,14,shenandoah flying southern ohio abruptly encountered violent atmospheric conditions thunderstorms powerful air currents buffeted severely crew unable maintain control rising rapidly pressure height falling rising hull structure overstressed amidships breaking airship two shenandoahs external control car two engine cars fell free carrying dirigibles commanding officer several men deaths stern section came nearby several men able fly bow section ground free balloon airship first one inflated helium instead hydrogen may saved lives since explode came apart airship first one inflated helium instead hydrogen may saved lives since explode came apart,EE.UU,Militares,Dirigible
1925-09-07,00:00,Spad 33,0,0,0,0,0,0,nan,France,Comerciales,Avion
1925-10-01,00:00,De Havilland DH-4,1,0,1,1,0,1,crashed wooded area mt nittany fog low visibility,EE.UU,Comerciales,Avion
1925-11-14,00:00,Breguet 14,1,0,1,1,0,1,pilot suffered sunstroke lost control plane crashed,Mauritania,Comerciales,Avion
1925-11-14,00:00,Farman F-60 Goliath,2,0,0,2,0,0,nan,France,Comerciales,Avion
1926-02-12,00:00,Curtiss Carrier Pigeon,1,0,1,1,0,1,mail plane flying low altitude aircraft hit trees crashed wooded area,EE.UU,Comerciales,Avion
1926-03-08,00:00,Junkers F-13,1,0,1,1,0,1,training filight aircraft stalled crashed attempting land,Germany,Comerciales,Avion
1926-07-09,09:00,Fokker F7,2,1,1,2,1,1,crashed ground descending poor weather,Belgium,Comerciales,Avion
1926-07-24,00:00,Junkers F-13,5,4,1,5,4,1,crashed weather relatedcircumstances,Germany,Comerciales,Avion
1926-08-18,00:00,Bleriot 155,15,13,2,3,2,1,plane made forced landing romney marsh heavy fog engine failure pilot initally survived died day later,England,Comerciales,Avion
1926-09-26,00:00,Sikorsky S-25,5,4,1,2,2,0,much weight caused landing gear collapse plane took paris first transatlantic passenger flight,EE.UU,Comerciales,Avion
1926-10-08,00:00,Fokker FG III,4,3,1,4,3,1,weather related,Germany,Comerciales,Avion
1926-11-11,08:00,Breguet 14,3,3,0,3,3,0,en route cruising along shore mail planes engine failed crew made emergency landing beach near cape bojador landing crew attacked maures tribesmen killed aircraft set fire destroyed,Morocco,Comerciales,Avion
1926-12-16,00:00,Ryan M-1,1,0,1,1,0,1,postal plane crashed mountain slope foggy conditions,EE.UU,Comerciales,Avion
1927-01-12,00:00,Fokker F-VII,0,0,2,0,0,2,flight crew encountered poor weather conditions made emergency landing aircraft landed field badly damaged written,France,Comerciales,Avion
1927-03-20,00:00,Breguet 14,1,0,1,1,0,1,unknown,Morocco,Comerciales,Avion
1927-03-24,00:00,de Havilland DH-9C,3,2,1,3,2,1,attempting land engine failed aircraft stalled crashed,Australia,Comerciales,Avion
1927-04-15,00:00,"SwallowSwallow",1,0,1,1,0,1,crashed unsuccessful attempt fly strong headwinds engine quit plane nosedived ground,EE.UU,Comerciales,Avion
1927-04-22,00:00,Fokker FG III,2,1,1,2,1,1,crashed following engine failure,Germany,Comerciales,Avion
1927-04-22,00:00,Douglas M-4,1,0,1,1,0,1,crashed field snow storm,EE.UU,Comerciales,Avion
1927-05-02,00:00,SPCA Meteore 63,3,0,3,1,0,1,three engine seaplane stalled crashed sea shortly taking,Algeria,Comerciales,Avion
1927-07-27,00:00,Junkers F-13,5,3,2,5,3,2,crashed experiencing engine failure attempting make forced landing,Germany,Comerciales,Avion
1927-08-22,08:00,Fokker F-VIII,11,9,2,1,0,1,broken wire led partial loss rudder crash landing resulted aircraft striking tree killing flight engineer,England,Comerciales,Avion
1927-09-03,00:00,Fokker Universal,1,0,1,1,0,1,postal plane crashed unknown reasons,EE.UU,Comerciales,Avion
1927-09-17,00:00,Fokker F-VII,12,11,1,7,6,1,sightseeing plane took rose 400 ft engine failed plane stalled plunged ground apple orchard engine failure pilot familiar type aircraft,EE.UU,Comerciales,Avion
1927-09-23,10:00,Dornier Merkur,6,4,2,6,4,2,altitude 500 ft plane went control crashed due broken wing strut,Germany,Comerciales,Avion
1927-10-06,00:00,Breguet 14,2,0,2,2,0,2,plane crashed attempting land dakar,Mauritania,Comerciales,Avion
1927-10-30,00:00,Fairchild FC-2,4,3,1,4,3,1,went tailspin crashed corn field 10 km airport,EE.UU,Comerciales,Avion
1927-11-08,00:00,Farman F-121 Jabiru,1,0,1,1,0,1,mail plane crashed shortly taking,France,Comerciales,Avion
1927-11-16,00:00,Junkers F-13,6,4,2,6,4,2,crashed gulf finland never found,Finland,Comerciales,Avion
1927-11-29,00:00,Douglas M-4,1,0,1,1,0,1,postal plane crashed night poor weather,EE.UU,Comerciales,Avion
1927-12-28,00:00,Breguet 14,1,0,1,1,0,1,fire erupted aboard mail plane en route crashed,Spain,Comerciales,Avion
1927-12-31,00:00,Latécoère 23 (flying boat),5,0,5,5,0,5,suffered structural failure altitude 1000 ft,France,Comerciales,Avion
1928-01-08,00:00,Fairchild FC-2,3,1,2,3,1,2,became lost dense fog flew trees mohawk valley proceeding buffalo,EE.UU,Comerciales,Avion
1928-01-16,00:00,Latecoere 25,2,0,2,2,0,2,wing mail plane detached aircraft crashed sea,Uruguay,Comerciales,Avion
1928-01-22,00:00,Breguet 14,2,0,2,2,0,2,crashed unknown circumstances,Spain,Comerciales,Avion
1928-01-27,00:00,Breguet 14,1,0,1,1,0,1,experiencing turbulence pilots seat belt broke ejecting pilot,Spain,Comerciales,Avion
1928-02-26,00:00,Boeing 40,2,1,1,1,1,0,air mail plane crashed grove cottonwood trees burned businessman fh craig killed pilot frank yegar injured pilot descended altitude due air pocketsthe plane ran air pocket brought plane grove trees,EE.UU,Comerciales,Avion
1928-03-11,00:00,Farman F-60 Goliath,2,0,2,2,0,2,crashed sea delivering mail poor weather,France,Comerciales,Avion
1928-04-17,00:00,Boeing 40,2,1,1,1,1,0,spatial disorientation entering snowstorm,EE.UU,Comerciales,Avion
1928-04-19,00:00,Rohrbach Roland,9,7,2,9,7,2,crashed field getting lost fog,Spain,Comerciales,Avion
1928-05-07,00:00,Latecoere 26,5,3,2,1,1,0,flight fire caused pilot lose control crash field fire erupted,Brazil,Comerciales,Avion
1928-05-12,00:00,Ford 4,2,0,2,2,0,2,cargo plane crashed ’ inaugural flight pilot tried become airborne without sufficient speed,EE.UU,Comerciales,Avion
1928-05-26,00:00,Junkers F-13,5,4,1,3,2,1,taking encountering fog pilot decided make precautionary landing field hit cow crashed burned pilot error,Germany,Comerciales,Avion
1928-06-14,00:00,AEGK,5,4,1,5,4,1,viper crashed unknown reasons,Germany,Comerciales,Avion
1928-06-22,00:00,Douglas M-4,1,0,1,1,0,1,mail plane flew tornado like winds crashed field,EE.UU,Comerciales,Avion
1928-07-10,00:00,Junkers F-13,6,4,2,6,4,2,crashed unknown circumstances,Finland,Comerciales,Avion
1928-07-13,00:00,Vickers 74 Vulcan,6,5,1,4,4,0,aircraft climbed 800 feet disappeared view airport southwest direction aircraft crashed market garden near leigh cottage woodcote road seen residents flying low roof tops engine evidently difficulties aircraft crashed potato field pilot open cockpit clambered clear helped one passengers enclosed cabin free aircraft burst flames possible rescue passengers,England,Comerciales,Avion
1928-07-24,14:00,Fokker (KLM) F.III,6,5,1,1,1,0,plane became airborne stalled condition hit shipsmast crashed waalhaven,Netherlands,Comerciales,Avion
1928-08-25,11:00,Ford 4-AT-B Tri Motor,7,5,2,7,5,2,crashed puget sound dense fog 12 miles port townsend considered first canadian air disaster,Canada,Comerciales,Avion
1928-09-02,09:00,Bleriot Spad 33,5,2,3,5,2,3,taking engine failed plane stalled crashed,France,Comerciales,Avion
1928-09-04,00:00,de Havilland DH.50J,2,0,2,1,0,1,following conclusion aerial tour carrying sir john salmond aircraft departed adelaide piloted c w scott engineer passenger control lost cloud attempt cross adelaide hills aircraft encounted bad weather crashed caught fire,Australia,Comerciales,Avion
1928-09-04,11:00,Fokker Super Universal,7,6,1,7,6,1,flying low circling six times landing mail plane went nose dive pilot headed wind crashed ground rolling several times,EE.UU,Comerciales,Avion
1928-09-06,00:00,Fokker FG III,3,2,1,3,2,1,crashed due engine failure,Germany,Comerciales,Avion
1928-10-04,00:00,Breguet 14,3,2,1,3,2,1,encountered fog crashed mountain slope near monastery sant pere de rodes south llancà,Spain,Comerciales,Avion
1928-10-18,00:00,Douglas M-4,1,0,1,1,0,1,mail plane crashed hill burned night poor weather conditons,EE.UU,Comerciales,Avion
1928-10-31,00:00,Bleriot Spad 56,2,1,1,1,0,1,pilot attempted emergency landing muddy field crashed,France,Comerciales,Avion
1928-11-24,00:00,Hamilton H-47,3,2,1,3,2,1,mail plane crashed heavy snow storm,EE.UU,Comerciales,Avion
1928-11-25,00:00,Travel Air 4000,1,0,1,1,0,1,mail plane crashed heavy snow storm,EE.UU,Comerciales,Avion
1928-11-25,00:00,Douglas M-4,1,0,1,1,0,1,mail plane crashed snow storm,EE.UU,Comerciales,Avion
1928-12-01,10:00,Ford 4-AT-B Tri Motor,5,4,1,5,4,1,aircraft crashed burned en route flames seen aboard plane crashed plane delivery flight,EE.UU,Comerciales,Avion
1928-12-03,08:00,Dornier Wal,14,9,5,14,9,5,seaplane took form bay narrowly avoided collision another plane process veered sharply abruptly one wings strained beyond elastic limits pilot lost control aircraft fell tail spinning 300 feet water one engines exploded impact sunk immediately,Brazil,Comerciales,Avion
1928-12-10,10:00,Ford Tri-motor 4,5,3,2,5,3,2,aircraft crashed attempting land fog,EE.UU,Comerciales,Avion
1928-12-11,00:00,Junkers G-31,4,1,3,3,0,3,fuel line broke flight pilot forced make emergency landing open field landing aircraft crashed overturned came rest flames,Germany,Comerciales,Avion
1928-12-20,00:00,Douglas M-4,1,0,1,1,0,1,mail plane crashed apple tree snow storm pilot experienced spatial disorientation,EE.UU,Comerciales,Avion
1928-12-23,00:00,Fairchild FC-2,4,3,1,4,3,1,crashed onto roof garage takeoff burst flames motor may warmed properly,EE.UU,Comerciales,Avion
1928-12-31,00:00,Blériot Spad 66,3,2,1,2,2,0,crashed high ground fog,France,Comerciales,Avion
1929-01-05,00:00,Fairchild FC-2,1,0,1,1,0,1,struck mountain slope poor weather,EE.UU,Comerciales,Avion
1929-01-18,00:00,Stearman C-38,1,0,1,1,0,1,attempting make emergency landing minam river mail plane hit bolder killing pilot,EE.UU,Comerciales,Avion
1929-01-25,00:00,CMASA Wal,9,7,2,2,7,2,passenger plane diverted kerkira ionian sea due poor weather conditions thunderstoms sank rough seas,Greece,Comerciales,Avion
1929-01-31,00:00,Latecoere 26,2,0,2,2,0,2,cruising along coast mail plane crashed atlantic ocean unknown reasons,Morocco,Comerciales,Avion
1929-01-31,00:00,Travel Air 4000,1,0,1,1,0,1,attempting land aircraft overran runway hit perimeter fence,EE.UU,Comerciales,Avion
1929-03-17,17:00,Ford 5-AT-B Tri Motor,15,13,2,14,13,1,plane making last number sightseeing flights two three engines failed plane stalled went control altitude 200 ft crashed railroad freight car engine failure followed stall emergency landing attempt,EE.UU,Comerciales,Avion
1929-03-30,09:00,Fokker F-VIIA,4,3,1,4,3,1,aircraft crashed high mountain ridge exploding impact investigators speculated upon encountering fog winds treacherous mountain pass pilot may turned airliner around heading back airport crash occurred,EE.UU,Comerciales,Avion
1929-04-21,11:00,Ford 5-AT-B Tri-Motor / B-PW-9D,6,3,3,6,3,3,midair collision occurred us air force boeing pw9d 2000 ft five killed trimotor one boeing army pilot lieutenant howard keefer flying airliner stunting performed steep banking turn downward attempt pass front airliner instead misjudged speed maddux aircraft diving plane struck cockpit ford trimotor found criminally negligent,EE.UU,Militares,Avion
1929-05-09,00:00,Ford Tri-motor 4,5,4,1,5,4,1,engine failed plane stalled crashed,Mexico,Comerciales,Avion
1929-05-18,00:00,Fokker F-III,2,0,2,2,0,2,wing separated flight plane crashed,Hungary,Comerciales,Avion
1929-06-13,08:00,Fokker F-X,5,1,4,2,1,1,crashed taking muddy field prevented aircraft gaining altitude plane hit telephone wires crashed plane named christopher columbus,Cuba,Comerciales,Avion
1929-06-14,00:00,Breguet 14,2,0,2,1,0,1,took lost power altitude crashed telegraph tower,Spain,Comerciales,Avion
1929-06-17,11:00,Handley Page W-10,13,11,2,7,7,0,plane english channel approximately 3 miles offshore engine failed pilot attempted return airport plane ditched english channel failure connecting rod cylinder due fatiguethe plane named city ottawa,England,Comerciales,Avion
1929-06-24,00:00,Ford 5-AT-B Tri-Motor,8,6,2,1,0,1,three engines failed shortly takeoff causing plane stall crash near indian mounds park,EE.UU,Comerciales,Avion
1929-06-29,21:00,Domier Delphin III (flying boat),5,4,1,5,4,1,seaplane crashed lake constance attempting landing landing hard plane broke two sank,Germany,Comerciales,Avion
1929-06-29,00:00,Travel Air 4000,1,0,1,1,0,1,mail plane crashed antenna mast fog low visibility burned,EE.UU,Comerciales,Avion
1929-08-11,00:00,Lockheed 5 Vega,4,2,2,4,2,2,manufactured aircraft way delivered new owner four employees lockheed two pilots two engineers crashed unknown circumstances,Mexico,Comerciales,Avion
1929-08-24,00:00,Kalinin K-4,1,0,1,1,0,1,crashed unknown circumstances,Russia,Comerciales,Avion
1929-08-24,00:00,Fokker FG II,5,4,1,4,3,1,aorcraft hit hill fog poor visibility,Germany,Comerciales,Avion
1929-09-02,00:00,Lockheed Vega,2,0,2,1,0,1,plane crashed going tail spin thunderstorm mechanic able parachute safety,EE.UU,Comerciales,Avion
1929-09-03,11:00,Ford 5-AT-B Tri Motor,8,5,3,8,5,3,shortly departing aircraft crashed mt taylor encountering thunderstorm turbulence plane named city san francisco,Mexico,Comerciales,Avion
1929-09-06,00:00,de Havilland DH-66 Hercules,5,2,3,3,1,2,night aircraft crashed short runway low visibility,Iran,Comerciales,Avion
1929-09-17,00:00,Pitcairn PA-6 Mailwing,1,0,1,1,0,1,mail plane crashed mt lamentation fog burst flames,EE.UU,Comerciales,Avion
1929-09-17,00:00,Latecoere 25-3-R,5,3,2,5,3,2,crashed mediterranean unknown reasons,Morocco,Comerciales,Avion
1929-09-17,00:00,Fairchild 71,2,0,2,1,0,1,mail plane crashed hillside desert attempting make emergency landing storm,EE.UU,Comerciales,Avion
1929-10-26,18:00,Short Calcutta (flying boat),7,5,2,7,5,2,aircraft ditched ocean encountering gale force winds sank tow plane named city rome,Italy,Comerciales,Avion
1929-10-29,00:00,Stearman C-38,1,0,1,1,0,1,mail plane crashed grove trees 8 miles southwest mount vernon foggy conditons,EE.UU,Comerciales,Avion
1929-10-31,00:00,Loening C-2C,2,0,2,2,0,2,air taxi crashed puget sound attempted take,EE.UU,Comerciales,Avion
1929-11-04,07:00,Lockheed Vega 5,4,3,1,4,3,1,mail plane crashed dense fog,Mexico,Comerciales,Avion
1929-11-06,10:00,Junkers G-24,8,4,4,7,3,4,planes antenna wire struck ground partially torn pilot attempted return land hit tree tops crashed rain fog,England,Comerciales,Avion
1929-11-16,09:00,Liore et Olivier 190,3,0,3,3,0,3,flying along corsican coast aircraft crashed mediterranean fog trace plane ever found,France,Comerciales,Avion
